"Date","Day","Time","Base / Overnight","Location / Area","Transport","Plan","Remarks","Must Book / Check","Estimated Cost Low (EUR)","Estimated Cost High (EUR)","Actual Cost (EUR)","Cost Category","Payment / Receipt Notes","Status"
"2026-05-30","Day 1","14:00","Munich or Salzburg area","Netherlands","Campervan","Depart from Netherlands.","Long towing day starts in afternoon.","Traffic check before leaving","0","0","","Admin","","Planned"
"2026-05-30","Day 1","Afternoon/evening","Munich or Salzburg area","Germany route","Campervan: ~700 km","Drive toward Southern Germany/Austria with breaks every ~2 hours.","Do not rush with campervan towing.","Fuel stops","130","150","","Fuel","","Planned"
"2026-05-30","Day 1","Evening","Munich or Salzburg area","German supermarket","Car/campervan","Stock up on groceries before Slovenia/Croatia.","Germany is cheaper for basics.","Supermarket opening hours","20","30","","Groceries","","Planned"
"2026-05-30","Day 1","Night","Munich or Salzburg area","Transit campsite","Campervan","Late campsite setup and sleep.","Choose easy-access transit campsite.","Transit campsite late arrival","30","40","","Camping","","Planned"
"2026-05-31","Day 2","Morning","Lake Bled","Munich/Salzburg to Austria","Campervan","Continue south toward Slovenia.","Buy Austria vignette before motorway use.","Austria vignette","80","95","","Fuel","","Planned"
"2026-05-31","Day 2","Midday","Lake Bled","Austria/Slovenia border","Campervan","Cross Austria and enter Slovenia.","Easy EU crossing, but vignettes matter.","Austria vignette; Slovenia vignette","25","30","","Tolls/vignettes","","Planned"
"2026-05-31","Day 2","Afternoon","Lake Bled","Bled campsite","Campervan","Arrive, setup at Camping Bled or Sobec.","Lakeside location saves time for activities.","Camping Bled or Sobec","30","40","","Camping","","Planned"
"2026-05-31","Day 2","Late afternoon","Lake Bled","Lake Bled","Bike/walk","Do Lake Bled circuit and island viewpoints.","Bike takes 45-60 min; walking takes about 90 min.","Bike locks","0","0","","Activity","","Planned"
"2026-05-31","Day 2","Evening","Lake Bled","Bled town","Walk/bike","Try Bled cream cake and settle in.","Park Hotel is the classic kremšnita stop.","Cafe opening hours","15","25","","Food","","Planned"
"2026-06-01","Day 3","Early morning","Lake Bled","Lake Bled","Inflatable kayak","Kayak to Bled Island.","Best calm water and reflections early morning.","Life jackets; dry bag; weather check","0","20","","Kayaking","","Planned"
"2026-06-01","Day 3","Late morning","Lake Bled","Bled Island","Kayak/walk","Visit Church of the Assumption if landing on island.","Island entry is optional.","Island entry","0","20","","Attraction","","Planned"
"2026-06-01","Day 3","Midday","Lake Bled","Bled Castle","Walk/drive","Visit Bled Castle viewpoint and museum.","Main panoramic lake view.","Bled Castle tickets","30","35","","Attraction","","Planned"
"2026-06-01","Day 3","Afternoon","Lake Bled","Vintgar Gorge","Car: short local drive","Choose Vintgar Gorge boardwalk.","Alternative: Ojstrica/Mala Osojnica viewpoint hike.","Vintgar slot if visiting","20","25","","Attraction","","Planned"
"2026-06-01","Day 3","Evening","Lake Bled","Campsite","Local","Dinner and rest at campsite.","Keep evening light after active day.","Camping second night","60","80","","Camping + food","","Planned"
"2026-06-02","Day 4","Morning","Lake Bled","Lake Bohinj","Car: ~30 km one way","Drive to Lake Bohinj.","Quieter and wilder than Bled.","Parking near lake","10","20","","Parking/fuel","","Planned"
"2026-06-02","Day 4","Morning","Lake Bled","Lake Bohinj","Inflatable kayak","Kayak or swim at Lake Bohinj.","Cold in May/June; calm lake suitable for inflatable kayak.","Weather and wind check","0","30","","Kayaking","","Planned"
"2026-06-02","Day 4","Midday","Lake Bled","Savica Waterfall","Car/walk","Visit Savica Waterfall.","Short climb with many steps.","Savica entry","6","10","","Attraction","","Planned"
"2026-06-02","Day 4","Afternoon","Lake Bled","Vogel or Pokljuka","Car/cable car","Choose Vogel cable car or Pokljuka Plateau.","Vogel only worth it in clear weather.","Vogel cable car if chosen","0","40","","Optional activity","","Planned"
"2026-06-02","Day 4","Evening","Lake Bled","Campsite","Local","Final Bled night; prepare for Ljubljana move.","Pack loose items before morning departure.","Camping third night","60","80","","Camping + food","","Planned"
"2026-06-03","Day 5","Morning","Ljubljana or Postojna area","Bled campsite","Campervan","Leisurely departure from Bled.","Short campervan move today.","Checkout time","0","0","","Admin","","Planned"
"2026-06-03","Day 5","Midday","Ljubljana or Postojna area","Bled to Ljubljana","Campervan: ~60 km","Drive to Ljubljana/Postojna campsite and setup.","Park campervan before city visit.","Ljubljana Resort or Postojna campsite","45","60","","Fuel + camping","","Planned"
"2026-06-03","Day 5","Afternoon","Ljubljana or Postojna area","Ljubljana old town","Bus/bike","Explore Triple Bridge, Dragon Bridge, Preseren Square, market, riverside.","Bike-friendly city; walk bikes in busiest pedestrian zones.","Bus tickets or bike locks","5","15","","Transport","","Planned"
"2026-06-03","Day 5","Late afternoon","Ljubljana or Postojna area","Ljubljana Castle","Walk/funicular","Visit Ljubljana Castle or viewpoint.","Funicular is optional; walking saves money.","Castle/funicular tickets","0","20","","Attraction","","Planned"
"2026-06-03","Day 5","Evening","Ljubljana or Postojna area","Ljubljana","Walk/bike","Riverside dinner or campsite dinner.","City cafes are pleasant but campsite dinner saves money.","Restaurant choice","30","50","","Food","","Planned"
"2026-06-04","Day 6","Morning","Ljubljana or Postojna area","Postojna Cave","Car: ~50 km round trip","Visit Postojna Cave train and walking tour.","Cave is around 10 C; bring jacket.","Postojna timed tickets","60","70","","Attraction","","Planned"
"2026-06-04","Day 6","Midday","Ljubljana or Postojna area","Predjama Castle","Car","Visit Predjama Castle.","Combo ticket with Postojna may be better value.","Predjama or combo ticket","32","50","","Attraction","","Planned"
"2026-06-04","Day 6","Afternoon","Ljubljana or Postojna area","Skocjan/Ljubljana/coast option","Car","Choose Skocjan Caves, more Ljubljana time, or early coast positioning.","Do not try to fully visit both cave systems unless energy allows.","Optional tickets","0","50","","Optional activity","","Planned"
"2026-06-04","Day 6","Evening","Ljubljana or Postojna area","Campsite","Local","Dinner and prepare for Croatia crossing.","Check documents and route.","Camping second night","60","80","","Camping + food","","Planned"
"2026-06-05","Day 7","Morning","Rovinj","Slovenia to Croatia","Campervan: ~150 km","Drive from Ljubljana/Postojna to Rovinj.","Croatia uses toll booths, not vignette.","Toll/fuel; border route","45","65","","Fuel + tolls","","Planned"
"2026-06-05","Day 7","Afternoon","Rovinj","Rovinj campsite","Campervan","Setup at Polari, Villas Rubin, or Mon Perin.","Most campsites are 2-4 km from old town.","Rovinj campsite","35","45","","Camping","","Planned"
"2026-06-05","Day 7","Late afternoon","Rovinj","Rovinj old town","Walk/bike","Explore harbor, cobbled lanes, galleries, St. Euphemia Church.","Walk bikes in narrow old town streets.","Bell tower if climbing","0","5","","Attraction","","Planned"
"2026-06-05","Day 7","Evening","Rovinj","Rovinj harbor","Walk","Sunset photography and seafood/Istrian wine dinner.","Good splurge candidate, but prices vary by waterfront location.","Restaurant choice","50","80","","Food","","Planned"
"2026-06-06","Day 8","Morning","Rovinj","Rovinj coast","Inflatable kayak","Sea kayak to Red Island, coves, and Golden Cape from water.","Go early before afternoon winds.","Sea wind forecast; launch point","0","40","","Kayaking","","Planned"
"2026-06-06","Day 8","Midday","Rovinj","Beach/campsite","Local","Swim, picnic, or lunch break.","Clear water; rocky/pebble access in places.","Water shoes","20","35","","Food","","Planned"
"2026-06-06","Day 8","Afternoon","Rovinj","Golden Cape / Zlatni Rt","Bike","Bike forest and coastal paths, stop at coves.","Best Rovinj bike route; flat and shaded.","Bike locks","0","0","","Cycling","","Planned"
"2026-06-06","Day 8","Alternative","Rovinj","Pula","Car: ~80 km round trip","Optional Pula Arena and Roman sights if skipping/reducing Rovinj water day.","The source itinerary conflicts by listing Pula on June 7; use this as the realistic replacement slot.","Pula Arena tickets","0","40","","Optional attraction","","Planned"
"2026-06-06","Day 8","Evening","Rovinj","Campsite","Local","Second Rovinj night.","Prepare for early Plitvice drive.","Camping second night","55","75","","Camping + food","","Planned"
